globalIdentifier,definition,example,identifier,title,parentId,statusId,id,parent,note,denotation
6025c6f6-650a-4336-8a77-c9ddab4f4525,bjälklagskonstruktion med balkstomme av formvaror av stål,"byggdelstyp 51
",AC27,Bjälklagskonstruktion med balkstomme av formvaror av stål,311349,0,312662,311349.0,,
fa17d602-aa7e-4bf5-91dd-d440f646c36d,bjälklagskonstruktion med kärna i form av flera skikt,,AC40,Bjälklagskonstruktion med stomme av sandwichkonstruktion,575568,0,311356,575568.0,,
aefa6722-ee54-4be3-b69c-2bc76ad09674,bjälklagskonstruktion med kärna i form av block,,AC50,Bjälklagskonstruktion med murad stomme,575568,0,311357,575568.0,,
78d180dc-c923-469f-9e48-d86664468668,byggkonstruktion som formar vertikal avskiljning,,AD,Väggkonstruktion,575566,0,575569,575566.0,"""Det konstruktiva systemet AD avser hela väggkonstruktionen med alla sina skikt. De bärande och stabiliserande byggdelarna kan redovisas i BD Väggkonstruktion. 

Eventuell påhängd fasadkonstruktion redovisas som AN Fasadkonstruktion, med möjlighet att särredovisa BQ Fasadbärverk.",
4d3870b1-b4cd-4141-945e-c932517667b8,väggkonstruktion med kärna i form av ett homogent skikt,,AD10,Väggkonstruktion med solid stomme,575569,0,311358,575569.0,"Med solid stomme avses en massiv konstruktion i ett stycke, oavsett material.",
1cbc0ad7-49e6-4ca7-bdde-f6ece51a3ae4,väggkonstruktion med solid stomme av platsgjuten betong,"byggdelstyp 11
",AD11,Väggkonstruktion med solid stomme av platsgjuten betong,311358,0,312663,311358.0,,
3637ae9b-6e4c-477b-a8bb-ee52c638784f,väggkonstruktion med solid stomme av glidformsgjuten betong,"byggdelstyp 12
",AD12,Väggkonstruktion med solid stomme av glidformsgjuten betong,311358,0,312664,311358.0,,
85986e12-8e20-4e6c-812a-20f2b9695565,väggkonstruktion med solid stomme av prefabricerade element av betong,"byggdelstyp 31, putsbärarvägg
",AD13,Väggkonstruktion med solid stomme av prefabricerade element av betong,311358,0,312661,311358.0,,
b769d628-815c-4022-9240-36df2a37c49c,väggkonstruktion med solid stomme av prefabricerade element av autoklaverad lättbetong,"byggdelstyp 32
",AD14,Väggkonstruktion med solid stomme av prefabricerade element av autoklaverad lättbetong,311358,0,312657,311358.0,,
97b1406f-39a6-4c67-98bc-4d5252fa3434,väggkonstruktion med solid stomme av prefabricerade element av lättklinkerbetong,"byggdelstyp 33
",AD15,Väggkonstruktion med solid stomme av prefabricerade element av lättklinkerbetong,311358,0,312659,311358.0,,
