globalIdentifier,definition,note,identifier,title,parentId,statusId,id,example,parent
ac09c452-f0fc-4011-9147-c996e89082ee,installationssystem som tillhandahåller kyla och värme,"Gränsen mellan systemen för luftbehandling, kyla och värme kan dras på olika sätt. Strikt funktionellt hör kylande och värmande objekt till H10 Kylsystem respektive H20 Värmesystem även i de fall de är fysiskt integrerade i objekt som tillhör J Luftbehandlingssystem. Om detta också är praktiskt att göra får avgöras i det enskilda fallet.",H,Kyl- och värmesystem,575550,0,575554,"Kylsystem, värmesystem",575550.0
1223b21a-066a-4c01-8250-d7b821da6433,kylsystem för kylning,,H10,Kylsystem,575554,0,311309,,575554.0
bc081662-b02f-4c82-94ff-1f2a7f593fcd,kylsystem för kylning av utrymme,,H11,Kylsystem för utrymme,311309,0,312423,,311309.0
42fd4b63-dbd5-47fa-9abd-d992444086d7,kylsystem för kylning av byggdel,,H12,Kylsystem för byggdel,311309,0,312424,,311309.0
47fc7e3f-e867-429b-a15f-be7b30ad04f2,värmesystem för värmning,,H20,Värmesystem,575554,0,311310,,575554.0
0435508b-8ae4-48e9-95d3-941b54eeca02,värmesystem för värmning av utrymme,,H21,Värmesystem för utrymme,311310,0,312421,,311310.0
6dc64f24-e705-4190-9220-bf5854db1a70,värmesystem för värmning av byggdel,,H22,Värmesystem för byggdel,311310,0,312422,"Växelvärmningssystem
",311310.0
9518bb24-eb6f-4366-8dc8-dc0a45a5e85f,kyl- och värmesystem för kylning och värmning,,H30,Kombinerat kyl- och värmesystem,575554,0,311311,,575554.0
5d259e6c-a51a-4008-adb1-9d5e979e0935,kyl- och värmesystem för kylning och värmning av utrymme,,H31,Kombinerat kyl- och värmesystem för utrymme,311311,0,312419,,311311.0
ed64947c-f18e-48e5-8e32-9659fd8481c4,kyl- och värmesystem för kylning och värmning av byggdel,,H32,Kombinerat kyl- och värmesystem för byggdel,311311,0,312420,,311311.0
9f62a9b6-795e-43e4-a149-9c8bcf3a8107,installationssystem som avlägsnar vätska eller avfall,,G,Avlopps- och avfallssystem,575550,0,575553,"Spillvattensystem, gråvattensystem, trafikavloppssystem, riskspillvattensystem, dagvattensystem, dränvattensystem, dräneringssystem, takavvattningssystem, centraldammsugningssystem, sopsugssystem, tvätthanteringssystem",575550.0
039bd86e-e174-44f5-bd07-d2f4c4dc2fbb,avloppssystem för vatten som innehåller oönskade ämnen eller föremål,,G10,Spillvattensystem,575553,0,311302,,575553.0
d37b3b0e-fed4-4623-86ff-dbffb01bd906,"spillvattensystem från byggnadsverk, potentiellt hälsovådligt",,G11,Normalspillvattensystem,311302,0,312437,,311302.0
9a7835bc-b23a-4198-81da-0b768a84fca2,"spillvattensystem från byggnadsverk eller process, icke hälsovådligt",,G12,Gråvattensystem,311302,0,312438,,311302.0
9d4a190c-971b-4b55-b1be-e303e85d1906,spillvattensystem från trafikeringsyta,,G13,Trafikavloppssystem,311302,0,312439,"Tunnelavloppssystem
",311302.0
b8a6c47f-dc69-4dc7-9dfc-e7a66e170dcc,spillvattensystem som kräver speciell rening,,G14,Riskspillvattensystem,311302,0,312440,,311302.0
dad299f7-790e-49da-b8df-cadfe4736082,spillvattensystem från upplag,,G15,Lakvattensystem,311302,0,312441,,311302.0
0e35478f-0f6e-44c3-91cb-97c11a8fb976,spillvattensystem från industriell process,,G16,Processpillvattensystem,311302,0,312371,,311302.0
11338cee-5aab-4b3f-9df6-2a4fa297ffff,avloppssystem för överflödigt vatten,,G20,Avvattningssystem,575553,0,311303,,575553.0
d74c301f-f71d-4967-afce-eff22ec6aa3a,överskottsvattensystem på markyta,,G21,Dagvattensystem,311303,0,312432,,311303.0
841583b1-b70b-4d45-a29c-388a6da5a208,överskottsvattensystem i mark,,G22,Dränvattensystem,311303,0,312433,,311303.0
010e5325-8840-4920-9b31-6613f1cc12f0,överskottsvattensystem på och i mark,,G23,Kombinerat dag- och dränvattensystem,311303,0,312434,,311303.0
27ba8c11-1346-433a-8eff-32f8c36d88fc,överskottsvattensystem på takyta,,G24,Takavvattningssystem,311303,0,312435,,311303.0
89e94888-2ba7-4b26-b160-16ae26d9b5ec,överskottsvattensystem för brokonstruktion,,G25,Avvattningssystem för bro,311303,0,312436,,311303.0
3afe0aba-ff5d-426b-bc00-e189c94a471a,avloppssystem för förorenat vatten och överskottsvatten,,G40,Kombinerat avloppssystem,575553,0,311305,"samförlagda VA-system
",575553.0
32c77205-cd31-48be-93f1-aa411b904196,"kombinerat avloppsvattensystem för spill-, dag- och dränvatten",,G41,"Kombinerat spill-, dag- och dränvattensystem",311305,0,312428,,311305.0
